id;url;type;data
1;https://aigre-commissionnaire.fr;concurrence;clientèle assez
2;https://coupable-membre-a-vie.name;population du Québec;au prix de
3;https://rapide-diplomate.net/;de peur que;personnel mesurer
4;https://sombre-fonctionnaire.name/;diététiste beaucoup triste;blablabla spécialiste membre à vie
5;https://fidele-clientele.org/;confesser;équipe de recherche de peur que aspirer
6;https://triangulaire-secouriste.fr;percevoir;novice tsoin-tsoin renverser
7;https://malade-porte-parole.info;marron camarade;adversaire
8;https://fidele-cadre.org;jusqu’à ce que cracher touriste;lorsque à l'égard de
9;https://sage-police.com;avant que si bien que;après solitaire
10;https://gigantesque-responsable.fr/;hors de devant;soudain clientèle accroître
