id;categorie;email;etat;numero;date
1;loin de dring parce que;;vibrer à l'exception de alentour;snob expliquer pour que;2024-02-09
2;serviable toc-toc;;communauté étudiante au point que commis;gens défaire puisque;2024-02-08
3;envers complètement sédentaire;;outre si blablabla;hypocrite assimiler terriblement;2024-02-08
4;coac coac;;coin-coin timide;répartir;2024-02-09
5;meuh;;camarade à la merci;par rapport à;2024-02-08
6;porte-parole;;désagréable chef de cuisine prout;ouin;2024-02-08
7;à force de mal;;équipe rectorat de façon à ce que;timide;2024-02-08
8;ferme même si timide;;quand jurer vouloir;comme;2024-02-08
9;biathlète;;commis de cuisine placide;du fait que zzzz;2024-02-08
10;boum lectorat énorme;;proche préparer ferme;blablabla d’autant que;2024-02-08
